permno,date,ret,vol,shrout
10066,2022-07-27,0.037288,5937.0,11684.0
10066,2022-07-28,0.01634,6139.0,11684.0
10066,2022-07-29,-0.022508,3020.0,11684.0
10066,2022-08-01,0.052632,10136.0,11684.0
10066,2022-08-02,-0.0375,2939.0,11684.0
10066,2022-08-03,0.006494,1415.0,11684.0
10066,2022-08-04,0.016129,2533.0,11684.0
10066,2022-08-05,-0.057143,8581.0,11684.0
10066,2022-08-08,-0.006734,11309.0,11684.0
10066,2022-08-09,-0.01017,4863.0,11684.0
10066,2022-08-10,0.027397,5731.0,11684.0
10066,2022-08-11,-0.016667,6413.0,11684.0
10066,2022-08-12,0.00339,1953.0,11684.0
10066,2022-08-15,-0.006757,4181.0,11684.0
10066,2022-08-16,0.003401,27512.0,11684.0
10066,2022-08-17,0.013559,6153.0,11684.0
10066,2022-08-18,-0.023411,1620.0,11684.0
10066,2022-08-19,0.041096,11880.0,11684.0
10066,2022-08-22,-0.03454,9105.0,11684.0
10066,2022-08-23,0.005111,1542.0,11684.0
10066,2022-08-24,-0.01017,4732.0,11684.0
10066,2022-08-25,0.010274,3341.0,11684.0
10066,2022-08-26,0.0,6252.0,11684.0
10066,2022-08-29,-0.027695,3203.0,11684.0
10066,2022-08-30,0.011052,3772.0,11684.0
10066,2022-08-31,-0.005966,2410.0,11684.0
10066,2022-09-01,-0.000937,2774.0,11684.0
10066,2022-09-02,0.013889,7743.0,11684.0
10066,2022-09-06,0.001918,2228.0,11684.0
10066,2022-09-07,-0.00875,9838.0,11684.0
10066,2022-09-08,-0.006897,9159.0,11684.0
10066,2022-09-09,0.0,4218.0,11684.0
10066,2022-09-12,-0.006945,17308.0,11684.0
10066,2022-09-13,0.01049,3472.0,11684.0
10066,2022-09-14,0.010381,13971.0,11684.0
10066,2022-09-15,-0.017123,3836.0,11684.0
10066,2022-09-16,-0.003484,8514.0,11684.0
10066,2022-09-19,0.0,4494.0,11684.0
10066,2022-09-20,0.0,4799.0,11684.0
10066,2022-09-21,-0.006993,15652.0,11684.0
10066,2022-09-22,-0.003521,2495.0,11684.0
10066,2022-09-23,-0.006926,17987.0,11684.0
10066,2022-09-26,-0.017933,3578.0,11684.0
10066,2022-09-27,-0.003623,7347.0,11684.0
10066,2022-09-28,0.032727,6517.0,11684.0
10066,2022-09-29,-0.007042,7339.0,11684.0
10066,2022-09-30,0.035461,41534.0,11684.0
10066,2022-10-03,0.022295,6763.0,11684.0
10066,2022-10-04,-0.005058,4156.0,11684.0
10066,2022-10-05,0.023569,7403.0,11684.0
10066,2022-10-06,-0.023026,1805.0,11684.0
10066,2022-10-07,-0.016835,662.0,11684.0
10066,2022-10-10,-0.018014,2575.0,11684.0
10066,2022-10-11,0.035782,15466.0,11684.0
10066,2022-10-12,0.016667,1974.0,11684.0
10066,2022-10-13,-0.023017,3814.0,11684.0
10066,2022-10-14,0.013559,8757.0,11684.0
10066,2022-10-17,0.042843,18168.0,11684.0
10066,2022-10-18,-0.031462,5883.0,11684.0
10066,2022-10-19,0.003311,8425.0,11684.0
10066,2022-10-20,0.006601,8829.0,11684.0
10066,2022-10-21,-0.016393,357.0,11684.0
10066,2022-10-24,0.016667,6409.0,11684.0
10066,2022-10-25,0.045902,45293.0,11684.0
10066,2022-10-26,0.018809,6339.0,11684.0
10066,2022-10-27,0.021538,12347.0,11684.0
