gvkey,permno,linkdt,linkenddt,linktype,linkprim
001377,63087.0,1974-01-01,1978-01-30,LU,C
001377,63087.0,1978-01-31,1986-09-25,LU,P
001378,12387.0,1973-01-31,1974-10-28,LU,C
001379,26227.0,1962-01-31,1984-09-28,LU,P
001380,28484.0,1964-03-31,2025-07-31,LC,P
001381,12408.0,1981-12-29,1989-09-11,LU,C
001382,12424.0,1983-02-25,1994-08-25,LC,P
001382,80778.0,1994-09-21,2005-09-26,LC,P
001382,90893.0,2005-09-27,2013-12-31,LC,P
001383,11206.0,1987-03-26,1987-11-06,LC,C
001383,12432.0,1981-08-18,1987-03-25,LC,C
001384,12459.0,1978-07-25,1987-03-31,LU,P
001385,12467.0,1979-12-05,1983-09-30,LU,P
001386,51190.0,1970-09-28,1987-04-29,LC,C
001387,42235.0,1965-07-09,1978-09-29,LU,P
001390,12475.0,1972-12-14,1984-08-31,LU,P
001391,38877.0,1963-01-22,1979-11-30,LC,P
001392,60046.0,1976-08-12,1997-09-30,LU,P
001393,81073.0,1994-11-03,,LU,P
001394,15843.0,1950-01-01,1962-01-30,LC,C
001394,15843.0,1962-01-31,1986-12-04,LC,P
001395,10217.0,1950-01-01,1962-01-30,LU,C
001395,10217.0,1962-01-31,1970-01-16,LU,P
001397,39482.0,1963-08-01,2012-01-26,LC,P
001402,12571.0,1972-12-14,1978-05-31,LU,P
001408,10225.0,1950-01-01,1962-01-30,LC,C
001408,10225.0,1962-01-31,2014-04-30,LC,P
001409,10233.0,1950-01-01,1962-01-30,LU,C
001409,10233.0,1962-01-31,1986-01-31,LU,P
001410,47730.0,1969-02-13,,LU,P
001411,56119.0,1972-12-14,2000-02-29,LU,P
001412,75000.0,1984-12-21,1988-10-31,LU,P
001414,10241.0,1950-01-01,1962-01-30,LC,C
001414,10241.0,1962-01-31,1988-12-15,LC,P
001414,93330.0,2010-04-01,,LC,P
001415,54332.0,1972-03-02,1984-01-30,LC,P
001416,54332.0,1984-01-31,1991-12-09,LC,C
001417,51916.0,1982-01-29,,LC,P
001418,12619.0,1983-06-21,1989-06-21,LC,C
001418,77200.0,1991-11-12,2000-04-18,LC,C
001418,77200.0,2000-07-10,2002-04-29,LC,C
001419,49947.0,1973-01-31,1990-07-31,LU,P
001420,18825.0,1950-01-01,1962-01-30,LC,C
001420,18825.0,1962-01-31,1975-12-31,LC,P
001421,12678.0,1977-12-30,1982-08-27,LC,P
001422,12694.0,1982-06-21,1989-08-24,LC,P
001423,12707.0,1983-04-05,1986-05-30,LU,P
001425,10268.0,1950-01-01,1962-01-30,LU,C
001425,10268.0,1962-01-31,1974-01-11,LU,P
001426,12715.0,1972-12-14,1989-05-24,LU,C
001427,57621.0,1972-12-14,1986-11-28,LU,P
001428,28994.0,1962-07-02,1965-01-28,LC,C
001428,28994.0,1965-01-29,1970-06-30,LC,C
001428,58966.0,1976-07-02,1979-05-23,LC,C
001429,10276.0,1973-01-31,1973-02-28,LU,P
001430,23341.0,1950-01-01,1962-01-30,LU,C
001430,23341.0,1962-01-31,1994-11-30,LU,P
001431,12723.0,1973-02-01,1979-09-27,LU,C
001431,12723.0,1979-09-28,1992-07-10,LU,C
001432,12731.0,1983-06-15,1984-03-01,LU,C
001433,12750.0,1981-05-07,1984-07-31,LU,P
001434,49269.0,1969-09-23,1987-09-30,LU,P
001437,85367.0,1985-06-28,1988-01-14,LU,C
001439,12758.0,1984-05-09,2022-05-31,LC,P
001440,24109.0,1951-01-01,1962-01-30,LC,C
001440,24109.0,1962-01-31,,LC,P
001441,12766.0,1981-06-18,1992-07-09,LC,C
001441,88851.0,2000-12-15,2007-12-21,LC,C
001442,12774.0,1984-01-24,1985-01-31,LU,P
001444,12627.0,1982-08-01,1985-02-27,LC,C
001444,12627.0,1985-02-28,2005-08-22,LC,P
001445,12803.0,1978-01-31,1984-08-31,LU,P
001446,12811.0,1983-11-15,1997-10-14,LC,P
001447,59176.0,1972-12-14,,LU,C
001449,57904.0,1973-08-23,,LU,P
001451,12838.0,1984-03-06,1986-05-30,LU,P
001452,12854.0,1985-01-31,1988-05-31,LU,P
001453,12897.0,1982-12-06,1986-03-31,LU,P
001454,12910.0,1983-10-06,1989-03-31,LU,P
001456,12918.0,1972-12-14,1997-09-30,LU,P
001457,12934.0,1972-12-14,1974-11-29,LC,P
001458,12969.0,1972-12-14,1987-01-23,LU,C
001459,51473.0,1973-02-01,1977-12-02,LC,C
001461,13005.0,1980-10-27,1986-06-30,LU,P
001462,66771.0,1984-11-16,1993-02-25,LU,P
001462,66763.0,1984-02-08,1984-10-30,LU,C
001463,13040.0,1972-12-14,1986-10-31,LU,P
001464,56661.0,1972-12-14,1980-03-31,LU,P
001465,48397.0,1971-01-01,1971-01-28,LC,C
001465,48397.0,1971-01-29,2001-09-28,LU,P
001466,41849.0,1965-05-28,1974-02-28,LU,P
001467,13048.0,1981-01-30,1984-09-28,LU,P
001468,13056.0,1972-12-14,2013-08-30,LU,P
001470,13064.0,1983-01-01,1983-01-30,LU,C
001470,13064.0,1983-01-31,1991-05-31,LU,P
001472,66421.0,1984-08-24,1989-12-29,LU,P
001472,66421.0,1990-01-31,1994-04-29,LU,P
001473,13099.0,1979-01-31,1986-09-18,LU,C
001474,59643.0,1979-01-01,1979-01-30,LC,C
001474,59643.0,1979-01-31,1999-10-29,LC,P
001475,41734.0,1965-03-17,1995-04-28,LU,P
001476,13101.0,1979-01-31,1987-12-21,LU,C
001477,13120.0,1983-08-16,1990-10-31,LU,P
001478,15667.0,1950-01-01,1962-01-30,LC,C
001478,15667.0,1962-01-31,2009-10-15,LC,P
001479,13128.0,1976-09-01,1979-01-30,LC,C
001479,13128.0,1979-01-31,1989-10-27,LC,P
001481,27190.0,1962-01-31,1985-11-29,LU,P
001484,13179.0,1981-03-12,1983-03-31,LU,P
001485,65859.0,1984-02-16,1999-10-08,LU,P
001487,66800.0,1972-12-14,,LC,P
001488,53313.0,1971-10-01,1979-06-29,LU,P
001489,21194.0,1950-01-01,1962-01-30,LU,C
001489,21194.0,1962-01-31,1980-11-28,LU,P
001491,19580.0,1962-07-02,1965-06-29,LC,C
001491,19580.0,1965-06-30,1980-11-25,LC,P
001491,29014.0,1980-11-26,2011-12-21,LC,P
001492,13224.0,1972-12-14,1975-01-31,LC,P
001494,13232.0,1984-06-08,1998-02-27,LU,P
001495,13283.0,1978-04-21,1997-07-31,LU,P
001496,10488.0,1972-12-14,2006-03-31,LU,C
001497,13291.0,1982-02-19,1991-08-30,LU,P
001498,50112.0,1970-02-18,1995-11-30,LU,P
001500,13304.0,1979-04-27,2004-05-28,LC,P
